ASIN,Band Color,Band Material,Band size,Band width,Batteries,Bezel function,Bezel material,Brand Seller or Collection Name,Calendar,Case Thickness,Case diameter,Case material,Clasp,Country of Origin,Date First Available,Department,Dial color,Dial window material type,Display Type,Domestic Shipping,Height,International Shipping,Is Discontinued By Manufacturer,Item Length,Item Shape,Item model number,Item weight,Language,Length,Manufacturer,Manufacturer recommended age,Material,Metal,Metal stamp,Model Year,Model number,Movement,Package Dimensions,Part Number,Product Dimensions,Product Warranty,Special features,Water pressure resistance,Water resistant depth,Width,review,price
B000820YBU,Silver,Stainless Steel,Mens-Standard,19 millimeters,1 Lithium Ion batteries required. (included,Unidirectional,Stainless Steel,Invicta,Date,17 millimeters,48 millimeters,Stainless Steel,Fold-Over Clasp with Safety,Japan,20050501,Watches,Blue,Flame Fusion,Analog,,,,No,,Round,70,11.04 Ounces,,,Invicta,,,,,2014,70,Japanese Quartz,,70,4.57 x 3.86 x 3.62 inches; 11.04 Ounces,,Chronograph/Luminous/Stop watch/Water Resistant,,200 Meters,,4.6,66.16
B0006MFKJS,Two Tone,Metal,7 inches,8 millimeters,1 Product Specific batteries required. (included,Stationary,Metal,Anne Klein,,6 millimeters,16 millimeters,Metal,Jewelry Clasp,China,20050315,Womens,Silver,Mineral,Analog,,,,No,,Rectangle,10/4899SVTT,1.02 Ounces,,,Anne Klein,,,,,2014,10/4899SVTT,Quartz,,10/4899SVTT,5.91 x 5.91 x 5.91 inches; 1.02 Ounces,,Water-Resistant,,99 Feet,,4.4,27.99
B000U5O5XI,Silver,Metal,6 inches,12 millimeters,1 CR2 batteries required. (included,Stationary,Metal,Anne Klein,Date,7 millimeters,26 millimeters,Metal,Bangle bracelet clasp,China,20080826,Womens,Silver,Mineral,Analog,,,,,,Round,10/5491SVTT,,,,Anne Klein,,,,,2014,10/5491SVTT,Japanese Quartz,,10/5491SVTT,2.91 x 3.86 x 3.07 inches; 1.41 Ounces,,Arabic Numerals%Bezel Markings%Scratch-Resistant,,100 Meters,,4.5,27.43
B000MPO6N0,Silver,Stainless Steel,womens,12 millimeters,1 CR2 batteries required,Stationary,Metal,Anne Klein,,7.5 millimeters,17 millimeters,Stainless Steel,Jewelry Clasp,China,20031112,Womens,Silver,Mineral,Analog,,,,No,,Rectangle,10/6419SVTT,26 Grams,,,Anne Klein,,,,,2014,10/6419SVTT,Japanese Quartz,,10/6419SVTT,2.91 x 3.86 x 3.15 inches; 0.92 Ounces,,Hour%Minute%Second,,,,4.5,33
B0030DFF9A,White,Leather,7.5 inches,13.5 millimeters,1 LR44 batteries required. (included,Stationary,Metal,Anne Klein,,9 millimeters,34 millimeters,Stainless Steel,Buckle,China,20031112,Womens,White,Mineral,Analog,,,,,,Round/Oval,10/9168WTWT,26 Grams,,,Anne Klein,,,,,2014,10/9168WTWT,Japanese Quartz,,10/9168WTWT,2.91 x 3.86 x 3.15 inches; 0.92 Ounces,,Second hand,,30 Meters,,4.5,25.95
B004X4Y9ME,Brown,Leather,8.5 inches,12 millimeters,1 LR44 batteries required. (included,Stationary,Metal,Anne Klein,,9 millimeters,26 millimeters,Metal,Jewelry Clasp,China,20110119,Womens,Gold,Mineral,Analog,,,,No,,Round,10/9442CHHY,1 Ounces,,,Anne Klein,,,,,2014,10/9442CHHY,Japanese Quartz,,10/9442CHHY,4.72 x 4.72 x 4.72 inches; 1 Ounces,,includes a seconds-hand,,99 Feet,,4.5,23.94
B01B3KQZ22,Black,Stainless Steel,,20 millimeters,,Bidirectional,Ceramic,Rolex,Date,5 millimeters,40 millimeters,Stainless Steel,Deployment Clasp,,20160126,Mens,Black,Sapphire Crystal,Analog,,,,No,,Round,116710LN,,,,Rolex,,,,,,116710LN,Swiss Automatic,7.44 x 5.55 x 3.39 inches; 2.03 Pounds,m116710ln-0001,,"For warranty information about this product%please <a href=""/gp/feature.html/ref=dp_warranty_request_3P?docId=1002406021"" target=""_blank"">click here</a",Screw down crown%Swiss Made%GMT,,100 Meters,,4.7,14
B0074FUHJS,Silver,Stainless Steel,180 millimeters,18 millimeters,1 Product Specific batteries required. (included,Unidirectional,Stainless Steel,Invicta,Date,12 millimeters,38 millimeters,Stainless Steel,Fold-Over Clasp with Safety,Japan,20120306,Womens,Silver,Mineral,Analog,,,,No,,Round,12287,1 Grams,,,Invicta,,,,,2023,12287,Japanese Quartz,,12287,5.91 x 5.91 x 5.91 inches; 0.04 Ounces,,Bezel Markings%Second Hand%Easy Reader,,100 Meters,,4.7,64.9
B00962GV3S,Black,Polyurethane,235 millimeters,22 millimeters,1 Product Specific batteries required. (included,Stationary,Stainless Steel,Invicta,does not have date function,12 millimeters,45 millimeters,Stainless Steel,Buckle,Japan,20120116,Mens,Black,Synthetic Sapphire,Analog,,,,No,,Round,12845,8.82 Ounces,,,Invicta,,,,,2011,12845,Japanese Quartz,,12845,5.91 x 5.91 x 5.91 inches; 8.82 Ounces,,Second Hand%Easy Reader,10 bar,330 Feet,,4.6,39.9
B00ATUKPRE,Black,Leather,9.75 inches,20 millimeters,1 Product Specific batteries required. (included,Stationary,18k gold plated stainless steel,Invicta,Day-Date-Month,13 millimeters,43 millimeters,18k gold plated stainless steel,Buckle,China,20121228,Mens,White,Synthetic Sapphire,Analog,,,,No,,Tonneau,14330,3.56 Ounces,,,Invicta,,,,,2011,14330,Japanese Quartz,,14330,0.59 x 0.59 x 0.59 inches; 3.56 Ounces,,Water Resistant,,99 Feet,,4.7,57.56
B00EJISBMS,Gold%Silver,Stainless Steel,240 millimeters,22 millimeters,1 Product Specific batteries required. (included,Unidirectional,Stainless Steel,Invicta,Date,13 millimeters,45 millimeters,Stainless Steel,Fold-Over Clasp with Safety,China,20130903,Mens,Black,Mineral,Analog,,,,No,,Round,14876,12.35 Ounces,,,Invicta,,,,,2011,14876,Japanese Quartz,,14876,0.59 x 0.59 x 0.59 inches; 12.35 Ounces,,Second Hand%Adjustable%Water Resistant%Bezel Markings%Scratch Resistant%Durable,,165 Feet,,4.6,70
B005FMZY36,Black,Canvas,210 millimeters,22 millimeters,1 Product Specific batteries required. (included,Stationary,Stainless Steel,Invicta,Date,13 millimeters,46 millimeters,Stainless Steel,Buckle,Japan,20110114,Mens,Black,Mineral,Analog,,,,No,,Round,1515,3.53 Ounces,,,Invicta,,,,,2014,1515,Japanese Quartz,,1515,5.91 x 5.91 x 5.91 inches; 3.53 Ounces,,Water Resistant,,100 Meters,,4.6,86.85
B00ENF16L0,Rose Gold,Stainless Steel,215 millimeters,18 millimeters,1 Lithium Metal batteries required. (included,Stationary,Stainless Steel,Invicta,Date,12 millimeters,38 millimeters,Stainless Steel,Fold-Over Clasp with Safety,China,20131112,Womens,Rose Gold,Mineral,Analog,,,,No,,Round,15253,4.44 Ounces,,,Invicta,,,,,2011,15253,Japanese Quartz,,15253,0.59 x 0.59 x 0.59 inches; 4.44 Ounces,,Chronograph,,660 Feet,,4.7,68.03
B08YP7M273,Black,Stainless Steel,Mens Standard,22 millimeters,,Stationary,Not Assigned,HUGO,No Calendar,9.3 millimeters,43 millimeters,Stainless Steel,Push Button Deployment Clasp,China,20210311,Mens,Black,Mineral,Analog,,,,,,Round,1530187,2.2 Pounds,,,Hugo Boss,,,,,,1530187,Quartz,,1530187,3.94 x 3.94 x 3.94 inches; 2.2 Pounds,,Second Hand,,100 Meters,,4.4,120
B00IB2YEKQ,Gold,Stainless Steel,235 mm,16 millimeters,1 LR44 batteries required. (included,Unidirectional,Stainless Steel,Invicta,Day-Date,17 millimeters,5.5 centimeters,Stainless Steel,Fold-Over Clasp with Safety,Switzerland,20130326,Mens,Black,Synthetic Sapphire,Analog,,,,No,,Round,15827,1.1 Pounds,,,Invicta,,,,,2011,15827,Swiss Quartz,,15827,5.91 x 5.91 x 5.91 inches; 1.1 Pounds,,Second hand,,660 Feet,,4.6,194.48
B00KJ30800,Gold,Stainless Steel,220 millimeters,22 millimeters,1 Lithium Metal batteries required. (included,Stationary,Stainless Steel,Invicta,,14 millimeters,44 millimeters,Stainless Steel,Fold-Over Clasp with Safety,China,20130326,Mens,Gold,Mineral,Analog,,,,No,,Round,16739,13.33 Ounces,,,Invicta,,,,,2017,16739,Japanese Quartz,,16739,0.59 x 0.59 x 0.59 inches; 13.33 Ounces,,Second hand,,200 Meters,,4.7,64.95
B00J082PVU,Silver,Stainless Steel,10.5 inches,12 millimeters,1 Lithium Metal batteries required. (included,Stationary,Stainless Steel,Invicta,Date,17 millimeters,48 millimeters,Stainless Steel,Foldover Clasp,Japan,20140516,Mens,Blue,Synthetic Sapphire,Analog,,,,No,,Round,17203,13.33 Ounces,,,Invicta,,,,,2011,17203,Japanese Quartz,,17203,0.59 x 0.59 x 0.59 inches; 13.33 Ounces,,Water Resistant%Glow I n The Dark%Bezel Marking%Second Hand,,330 Feet,,4.6,78.49
B00N4C2HO8,Black,Polyurethane,9.5 inches,25 millimeters,1 Lithium Metal batteries required. (included,Unidirectional,Stainless Steel,Invicta,Date,17 millimeters,48 millimeters,Stainless Steel,Buckle,Japan,20130326,Mens,Gold,Synthetic Sapphire,Analog,,,,No,,Round,17884,13.33 Ounces,,,Invicta,,,,,2011,17884,japanese quartz,,17884,5.91 x 5.91 x 5.91 inches; 13.33 Ounces,,Water Resistant%Second Hand,,660 Feet,,4.7,77.41
B00Q5OE6PK,White,Silicone,195 millimeters,22 millimeters,1 Product Specific batteries required. (included,Unidirectional,Stainless Steel,Invicta,Day-Date,11 millimeters,38 millimeters,Stainless Steel,Buckle,Japan,20130326,Womens,White,Synthetic Sapphire,Analog,,,,No,,Round,18796,,,,Invicta,,,,,2011,18796,Japanese Quartz,,18796,5.91 x 5.91 x 5.91 inches; 9.07 Ounces,,Water Resistant,,99 Feet,,4.6,54.9
B00TKGWC88,Black,Rubber,210 millimeters,24 millimeters,1 Lithium Metal batteries required. (included,Stationary,Stainless Steel,Invicta,Date,16 millimeters,5.1 centimeters,Stainless Steel,Buckle,China,20150213,Mens,Black,Synthetic Sapphire,Analog,,,,No,,Round,19253,5.78 Ounces,,,Invicta,,,,,2023,19253,Japanese Quartz,,19253,5.91 x 5.91 x 5.91 inches; 5.78 Ounces,,Chronograph,,330 Feet,,4.7,77.44
B010RXSHO0,Blue,Silicone,210 millimeters,26 millimeters,1 LR44 batteries required. (included,Stationary,Stainless Steel,Invicta,Date,17 millimeters,5.2 centimeters,Stainless Steel,Buckle,Japan,20150702,Mens,Blue,Mineral,Analog,Currently%item can be shipped only within the U.S. and to APO/FPO addresses. For APO/FPO shipments%please check with the manufacturer regarding warranty and support issues,,"This item can be shipped to select countries outside of the U.S.  <a href=""/gp/help/customer/display.html/ref=help_search_1-1?nodeId=201117930"" target=""InternationalShippingDetails"">Learn More</a",No,,Round,19330,0.28 Grams,,,Invicta,,,,,2011,19330,Quartz,,19330,5.91 x 5.91 x 5.91 inches; 0.01 Ounces,,Chronograph,,330 Feet,,4.8,124.9
B00XM0KRIU,Black,Polyurethane,220 millimeters,24 millimeters,1 Product Specific batteries required. (included,Stationary,Stainless Steel,Invicta,Day-Date,13 millimeters,50 millimeters,Stainless Steel,Buckle,China,20150513,Mens,Blue,Synthetic Sapphire,Analog,,,,No,,Round,19659,0.28 Grams,,,Invicta,,,,,2011,19659,Swiss Quartz,,19659,0.59 x 0.59 x 0.59 inches; 0.01 Ounces,,Second Hand,,330 Feet,,4.7,74.45
B01M73JZYP,Orange,Polyurethane,215 millimeters,26 millimeters,1 Product Specific batteries required. (included,Stationary,Stainless Steel,Invicta,Day-Date,17 millimeters,5.1 centimeters,Stainless Steel,Buckle,Thailand,20161030,Mens,Black,Synthetic Sapphire,Analog,,,,No,,Round,20072,6.56 Ounces,,,Invicta,,,,,2011,20072,Swiss Quartz,,20072,5.91 x 5.91 x 5.91 inches; 6.56 Ounces,,,,165 Feet,,4.6,92.52
B00YIBYR9C,Black,Polyurethane,215 millimeters,22 millimeters,1 Product Specific batteries required. (included,Stationary,Stainless Steel,Invicta,Date,16 millimeters,42 millimeters,Stainless Steel,Buckle,Japan,20140101,Mens,Gold,Synthetic Sapphire,Analog,,,,No,,Round,20107,0.28 Grams,,,Invicta,,,,,2011,20107,Japanese Quartz,,20107,0.59 x 0.59 x 0.59 inches; 0.01 Ounces,,Chronograph,,330 Feet,,4.7,64.9
B010EA7RME,Black,Polyurethane,215 millimeters,26 millimeters,1 Product Specific batteries required. (included,Stationary,Stainless Steel,Invicta,Date,17 millimeters,50 millimeters,Stainless Steel,Buckle,China,20150728,Mens,Black,Synthetic Sapphire,Analog,Currently%item can be shipped only within the U.S. and to APO/FPO addresses. For APO/FPO shipments%please check with the manufacturer regarding warranty and support issues,,"This item can be shipped to select countries outside of the U.S.  <a href=""/gp/help/customer/display.html/ref=help_search_1-1?nodeId=201117930"" target=""InternationalShippingDetails"">Learn More</a",No,,Round,20305,4.23 Ounces,,,Invicta,,,,,,20305,Japanese Quartz,4.49 x 3.94 x 3.7 inches; 4.23 Ounces,20305,,,Second Hand%Chronograph,,330 Feet,,4.7,76.39
B06XYJV79N,Black,Polyurethane,10.5 inches,26 millimeters,1 Product Specific batteries required. (included,Stationary,Stainless Steel,Invicta,Date,17 millimeters,50 millimeters,Stainless Steel,Buckle,Japan,20150728,Mens,Black,Synthetic Sapphire,Analog,,,,No,,Round,20309,,,,Invicta,,,,,2011,20309,Quartz,,20309,,,,,330 Feet,,4.7,64.39
B0166QFCTA,Black,Resin,Men's Standard,15 millimeters,1 Lithium Metal batteries required. (included,Stationary,Resin,Armitron,Day-Date-Month,20 millimeters,50 millimeters,Resin,Buckle,China,20151123,Mens,Gray,Acrylic,Analog-Digital,,,,,,Round,20/5062BLK,1.59 Ounces,,,Armitron,,,,,,20/5062BLK,Quartz,,20/5062BLK,3.74 x 3.27 x 2.76 inches; 1.59 Ounces,,Chronograph,,330 Feet,,4.5,30.97
B07BHR54RW,Black,Resin,10 inches,22 millimeters,1 Product Specific batteries required. (included,Stationary,Resin,Armitron,Day-Date-Month,19 millimeters,5.3 centimeters,Resin,Tang Buckle,China,20180504,Mens,Gray,Acrylic,Analog-Digital,,,,,,Round,20/5270BLK,2.5 Ounces,,,Armitron,,,,,,20/5270BLK,Quartz,4 x 3.3 x 2.75 inches; 2.5 Ounces,20/5270BLK,,,Chronograph,,330 Feet,,4.5,28.6
B07MZFTFVV,Silver,Stainless Steel,Men's Standard,24 millimeters,,Stationary,Stainless Steel,Armitron,Day-Date,16 millimeters,5.2 centimeters,Stainless Steel,Deployment Clasp With Safety,China,20190213,Mens,Black,Mineral,Analog,,,,,,Round,20/5351BKSV,4.8 Ounces,,,Armitron,,,,,,20/5351BKSV,Japanese Quartz,3.98 x 3.23 x 2.72 inches; 4.8 Ounces,20/5351BKSV,,,Glow In The Dark,,165 Feet,,4.2,53.99
B011N5PBLI,Gold,Stainless Steel,196 millimeters,16 millimeters,1 Product Specific batteries required. (included,Stationary,Stainless Steel,Invicta,No Calendar,11 millimeters,34 millimeters,Stainless Steel,Fold-over-clasp-with-safety,China,20150819,Womens,Gold,Synthetic Sapphire,Analog,,,,No,,Round,21384,3.67 Ounces,,,Invicta,,,,,,21384,Japanese Quartz,,21384,5.91 x 5.91 x 5.91 inches; 3.67 Ounces,,Roman Numeral%Second Hand,10 bar,330 Feet,,4.7,62.79
B01FULO7J8,Gold,Stainless Steel,175 millimeters,18 millimeters,1 Product Specific batteries required. (included,Stationary,Stainless Steel,Invicta,Day-Date,11 millimeters,38 millimeters,Stainless Steel,Push Button Deployment Clasp,China,20161224,Womens,Gold,Synthetic Sapphire,Analog,,,,,,Round,21731,4.16 Ounces,,,Invicta,,,,,,21731,Quartz,,21731,5.91 x 5.91 x 5.91 inches; 4.16 Ounces,,Second hand,,330 Feet,,4.7,69.74
